"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"CrossBorder Ozon SKU";"Barcode";"Наименование товара";"Контент-рейтинг";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'MD 0.5л-06";"828241262";"1381944090";"1381944090";"0";"OZN1381944090";"Mountain Dew 6шт по 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:38";"Продукты питания";"'3.04";"'2.5";"0";"0";"0";"0";"0";"0";"1119.00";"1299.00";;;;"0%"
"'MD 0.5л-12";"828241279";"1381944080";"1381944080";"0";"OZN1381944080";"Mountain Dew 12шт по 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Продается";"Показывается";;"Показывается";;"2024-01-11 18:21:40";"Продукты питания";"'11.09";"'6.9";"58";"0";"5";"0";"0";"0";"1739.00";"1999.00";;;;"0%"
"'MD 1л-02";"828241286";"1381944124";"1381944124";"0";"OZN1381944124";"Mountain Dew 2шт по 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:41";"Продукты питания";"'3.58";"'2.2";"0";"0";"0";"0";"0";"0";"520.00";"614.00";;;;"0%"
"'MD 1л-06";"828241287";"1381944144";"1381944144";"0";"OZN1381944144";"Mountain Dew 6шт по 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Продается";"Показывается";;"Показывается";;"2024-01-11 18:21:41";"Продукты питания";"'10.44";"'6.2";"52";"0";"1";"0";"0";"0";"1189.00";"1399.00";;;;"0%"
"'MD 0.5л-01";"828241295";"1381944077";"1381944077";"0";"4810285014007";"Mountain Dew 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:42";"Продукты питания";"'1.08";"'0.6";"0";"0";"0";"0";"0";"0";"269.00";"399.00";;;;"0%"
"'MD 1л-03";"828241299";"1381944092";"1381944092";"0";"OZN1381944092";"Mountain Dew 3шт по 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Продается";"Показывается";;"Показывается";;"2024-01-11 18:21:43";"Продукты питания";"'5.62";"'3.3";"42";"0";"3";"0";"0";"0";"799.00";"999.00";;;;"0%"
"'MD 1л-01";"828241308";"1381944114";"1381944114";"0";"4810285014014";"Mountain Dew 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:44";"Продукты питания";"'2.02";"'1.1";"0";"0";"0";"0";"0";"0";"365.00";"431.00";;;;"0%"
"'MD 0.5л-03";"828241313";"1381944118";"1381944118";"0";"OZN1381944118";"Mountain Dew 3шт по 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:46";"Продукты питания";"'3.23";"'1.7";"0";"0";"0";"0";"0";"0";"619.00";"699.00";;;;"0%"
"'MD 1л-09";"828241316";"1381944082";"1381944082";"0";"OZN1381944082";"Mountain Dew 9шт по 1л Напиток Маунтин Дью";"'100";"Mountain Dew";"Продается";"Показывается";;"Показывается";;"2024-01-11 18:21:46";"Продукты питания";"'18.13";"'9.3";"123";"0";"4";"0";"0";"0";"1819.00";"2099.00";;;;"0%"
"'MD 0.5л-02";"828241323";"1381944094";"1381944094";"0";"OZN1381944094";"Mountain Dew 2шт по 0,5л Напиток Маунтин Дью";"'100";"Mountain Dew";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 18:21:47";"Продукты питания";"'2.16";"'1.2";"0";"0";"0";"0";"0";"0";"429.00";"499.00";;;;"0%"
"'БЕЛПРОДУКТ СТИКС EXTREMUM 75G-03";"828265615";"1381965847";"1381965847";"0";"OZN1381965847";"Бульба Чипсы острые 3шт по 75г Соломка";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'3.87";"'0.8";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'BULBA-CHIPS-MIX-KART-UTKA+TRUFFEL+PERETS-150g-6";"828265616";"1381965843";"1381965843";"0";"OZN1381965843";"Бульба Чипсы набор всех 3 вкусов по 150г (2 пачки каждого)";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'16.10";"'3.2";"0";"0";"0";"0";"0";"0";"1128.00";"1331.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА НАТ EXTREMUM 75G-03";"828265617";"1381965842";"1381965842";"0";"OZN1381965842";"Бульба Чипсы острые 3шт по 75г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'4.00";"'0.8";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'НЕТ BULBA-CHIPS-MIX-NAT-3VKUSA-150G-3";"828265618";"1381965845";"1381965845";"0";"OZN1381965845";"Бульба Чипсы набор 3 вкусов по 150г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'7.56";"'1.5";"0";"0";"0";"0";"0";"0";"461.00";"544.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА КАРТ 3 ВКУСА 150G-03";"828265619";"1381965846";"1381965846";"0";"OZN1381965846";"Бульба Чипсы набор всех 3 вкусов по 150г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'9.83";"'2.0";"0";"0";"0";"0";"0";"0";"1999.00";"2999.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА КАРТ УТКА+ПЕРЕЦСОЛЬ 150G-02";"828265621";"1381967553";"1381967553";"0";"OZN1381967553";"Бульба Чипсы набор Соль и Перец + Утка с соусом по 150г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'5.04";"'1.0";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА КАРТ ПЕРЕЦСОЛЬ 150G-02";"828265624";"1381965848";"1381965848";"0";"OZN1381965848";"Бульба Чипсы с Солью и Перцем 2шт по 150г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:50";"Продукты питания";"'5.04";"'1.0";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА КАРТ ТРЮФЕЛЬ 150G-02";"828265628";"1381965844";"1381965844";"0";"OZN1381965844";"Бульба Чипсы Трюфельный соус 2шт по 150г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:51";"Продукты питания";"'5.04";"'1.0";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ СТИКС EXTREMUM 75G-02";"828265629";"1381965850";"1381965850";"0";"OZN1381965850";"Бульба Чипсы острые 2шт по 75г Соломка";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:51";"Продукты питания";"'1.05";"'0.2";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ СТИКС 5 ВКУСОВ 75G-05";"828265630";"1381967516";"1381967516";"0";"OZN1381967516";"Бульба Чипсы набор 5 вкусов по 75г Соломка";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:51";"Продукты питания";"'4.80";"'1.0";"0";"0";"0";"0";"0";"0";"1999.00";"2999.00";;;;"0%"
"'НЕТ BULBA-CHIPS-MIX-NAT-4VKUSA-75G-4";"828265632";"1381965836";"1381965836";"0";"OZN1381965836";"Бульба Чипсы набор всех 4 вкусов по 75г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:51";"Продукты питания";"'5.33";"'1.1";"0";"0";"0";"0";"0";"0";"355.00";"419.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА НАТ EXTREMUM 75G-02";"828265633";"1381965871";"1381965871";"0";"OZN1381965871";"Бульба Чипсы острые 2шт по 75г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:51";"Продукты питания";"'2.66";"'0.5";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ СТИКС EXTREMUM 75G-05";"828265646";"1381968280";"1381968280";"0";"OZN1381968280";"Бульба Чипсы острые 5шт по 75г Соломка";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:56";"Продукты питания";"'10.56";"'2.1";"0";"0";"0";"0";"0";"0";"1999.00";"2999.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА НАТ EXTREMUM 75G-05";"828265647";"1381965867";"1381965867";"0";"OZN1381965867";"Бульба Чипсы острые 5шт по 75г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:56";"Продукты питания";"'6.66";"'1.3";"0";"0";"0";"0";"0";"0";"1999.00";"2999.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА КАРТ УТКА 150G-02";"828265650";"1381969211";"1381969211";"0";"OZN1381969211";"Бульба Чипсы вкус Утка с соусом 2шт по 150г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:11:58";"Продукты питания";"'5.04";"'1.0";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА КАРТ УТКА+ТРЮФЕЛЬ 150G-02";"828265667";"1381969498";"1381969498";"0";"OZN1381969498";"Бульба Чипсы набор Трюфель + Утка с соусом по 150г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:12:09";"Продукты питания";"'5.04";"'1.0";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'НЕТ BULBA-CHIPS-NAT-EXTREMUM-75G-1";"828265669";"1381965902";"1381965902";"0";"4810279006117";"Бульба Чипсы острые 75г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:12:09";"Продукты питания";"'1.33";"'0.3";"0";"0";"0";"0";"0";"0";"130.00";"153.00";;;;"0%"
"'БЕЛПРОДУКТ БУЛЬБА КАРТ ТРЮФЕЛЬ+ПЕРЕЦСОЛЬ 150G-02";"828265673";"1381965889";"1381965889";"0";"OZN1381965889";"Бульба Чипсы набор Соль и Перец + Трюфель по 150г";"'80";"Бульба Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:12:10";"Продукты питания";"'5.04";"'1.0";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'ЮНИ Чипсы Doritos острый перец 70г 2 пачки";"828265826";"1381966038";"1381966038";"0";"OZN1381966038";"Doritos чипсы кукурузные со вкусом острого перца, 2 пачки по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:05";"Продукты питания";"'1.12";"'0.2";"0";"0";"0";"0";"0";"0";"643.00";"759.00";;;;"0%"
"'ЮНИ Чипсы Doritos паприка 70г 3 пачки";"828265827";"1381966839";"1381966839";"0";"OZN1381966839";"Doritos чипсы кукурузные со вкусом паприки, 3 пачки по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:05";"Продукты питания";"'1.69";"'0.3";"0";"0";"0";"0";"0";"0";"759.00";"896.00";;;;"0%"
"'ЮНИ Чипсы Doritos острый перец 70г (красный)";"828265830";"1381966029";"1381966029";"0";"8690624203820";"Doritos чипсы кукурузные со вкусом острого перца, 70г";"'Рассчитываем";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:10";"Продукты питания";"'0.56";"'0.1";"0";"0";"0";"0";"0";"0";"352.00";"415.00";;;;"0%"
"'ЮНИ Чипсы Doritos паприка 70г (зеленый)";"828265832";"1381966849";"1381966849";"0";"8690624203783";"Doritos чипсы кукурузные со вкусом паприки, 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:11";"Продукты питания";"'0.56";"'0.1";"0";"0";"0";"0";"0";"0";"338.00";"399.00";;;;"0%"
"'ЮНИ Чипсы Doritos набор 9шт";"828265833";"1381966043";"1381966043";"0";"OZN1381966043";"Doritos чипсы набор 9 пачек по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:11";"Продукты питания";"'5.06";"'1.0";"0";"0";"0";"0";"0";"0";"2038.00";"2405.00";;;;"0%"
"'ЮНИ Чипсы Doritos сливочный сыр 70г 5 пачек";"828265861";"1381966058";"1381966058";"0";"OZN1381966058";"Doritos чипсы кукурузные со вкусом сливочного сыра, 5 пачек по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:20";"Продукты питания";"'1.50";"'0.4";"0";"0";"0";"0";"0";"0";"1124.00";"1326.00";;;;"0%"
"'ЮНИ Чипсы Doritos сливочный сыр 70г (желтый)";"828265868";"1381966095";"1381966095";"0";"8690624203806";"Doritos чипсы кукурузные со вкусом сливочного сыра, 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:21";"Продукты питания";"'0.56";"'0.1";"0";"0";"0";"0";"0";"0";"304.00";"359.00";;;;"0%"
"'ЮНИ Чипсы Doritos острый перец 70г 5 пачек";"828265869";"1381966070";"1381966070";"0";"OZN1381966070";"Doritos чипсы кукурузные со вкусом острого перца, 5 пачек по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:22";"Продукты питания";"'2.81";"'0.6";"0";"0";"0";"0";"0";"0";"1134.00";"1338.00";;;;"0%"
"'ЮНИ Чипсы Doritos набор 3шт";"828265875";"1381966079";"1381966079";"0";"OZN1381966079";"Doritos чипсы набор 3 пачки по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:23";"Продукты питания";"'1.69";"'0.3";"0";"0";"0";"0";"0";"0";"759.00";"896.00";;;;"0%"
"'ЮНИ Чипсы Doritos сливочный сыр 70г 2 пачки";"828265884";"1381966096";"1381966096";"0";"OZN1381966096";"Doritos чипсы кукурузные со вкусом сливочного сыра, 2 пачки по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:27";"Продукты питания";"'1.12";"'0.2";"0";"0";"0";"0";"0";"0";"558.00";"658.00";;;;"0%"
"'ЮНИ Doritos 3шт + Mountain Dew 1л 3шт";"828265885";"1381966117";"1381966117";"0";"OZN1381966117";"Doritos чипсы набор 3 пачки по 70г + Mountain Dew 3шт по 1л Напиток Маунтин Дью";"'Рассчитываем";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:27";"Продукты питания";"'6.07";"'3.4";"0";"0";"0";"0";"0";"0";"1355.00";"1599.00";;;;"0%"
"'ЮНИ Чипсы Doritos набор 6шт";"828265893";"1381966097";"1381966097";"0";"OZN1381966097";"Doritos чипсы набор 6 пачек по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:28";"Продукты питания";"'3.38";"'0.7";"0";"0";"0";"0";"0";"0";"1379.00";"1627.00";;;;"0%"
"'ЮНИ Чипсы Doritos острый перец 70г 3 пачки";"828265902";"1381966108";"1381966108";"0";"OZN1381966108";"Doritos чипсы кукурузные со вкусом острого перца, 3 пачки по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:33";"Продукты питания";"'1.69";"'0.3";"0";"0";"0";"0";"0";"0";"759.00";"896.00";;;;"0%"
"'ЮНИ Чипсы Doritos паприка 70г 5 пачек";"828265917";"1381966133";"1381966133";"0";"OZN1381966133";"Doritos чипсы кукурузные со вкусом паприки, 5 пачек по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:35";"Продукты питания";"'2.81";"'0.6";"0";"0";"0";"0";"0";"0";"1134.00";"1338.00";;;;"0%"
"'ЮНИ Чипсы Doritos набор паприка и перец 2шт";"828265927";"1381966128";"1381966128";"0";"OZN1381966128";"Doritos чипсы набор 2 пачки пряная паприка и острый перец по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:38";"Продукты питания";"'1.12";"'0.2";"0";"0";"0";"0";"0";"0";"558.00";"658.00";;;;"0%"
"'ЮНИ Чипсы Doritos набор сыр и тако 2шт";"828265938";"1381966150";"1381966150";"0";"OZN1381966150";"Doritos чипсы набор сливочный сыр и пряная паприка, 2 пачки по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:39";"Продукты питания";"'1.12";"'0.2";"0";"0";"0";"0";"0";"0";"558.00";"658.00";;;;"0%"
"'ЮНИ Чипсы Doritos набор сыр и перец 2шт";"828265939";"1381966127";"1381966127";"0";"OZN1381966127";"Doritos чипсы набор 2 пачки сливочный сыр и острый перец по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:39";"Продукты питания";"'1.12";"'0.2";"0";"0";"0";"0";"0";"0";"558.00";"658.00";;;;"0%"
"'ЮНИ Чипсы Doritos паприка 70г 2 пачки";"828265946";"1381966179";"1381966179";"0";"OZN1381966179";"Doritos чипсы кукурузные со вкусом паприки, 2 пачки по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:39";"Продукты питания";"'1.12";"'0.2";"0";"0";"0";"0";"0";"0";"558.00";"658.00";;;;"0%"
"'ЮНИ Чипсы Doritos сливочный сыр 70г 3 пачки";"828265947";"1381966165";"1381966165";"0";"OZN1381966165";"Doritos чипсы кукурузные со вкусом сливочного сыра, 3 пачки по 70г";"'75";"Doritos";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:13:40";"Продукты питания";"'1.12";"'0.2";"0";"0";"0";"0";"0";"0";"759.00";"896.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА СМЕТАНА СЫР 100G-03";"828267704";"1381968099";"1381968099";"0";"OZN1381968099";"MEGA CHIPS Сыр и Сметана 3шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:44";"Продукты питания";"'1.82";"'0.4";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'НЕТ MEGA-MIX-MAXI-5VKUSOV-100G-25";"828267714";"1381968035";"1381968035";"0";"OZN1381968035";"MEGA CHIPS набор ТОП 5 вкусов по 100г(по 5 пачек каждого)";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:45";"Продукты питания";"'16.76";"'3.4";"0";"0";"0";"0";"0";"0";"1898.00";"2240.00";;;;"0%"
"'НЕТ MEGA+BULBA+STICKS-EXTREMUM-3VIDA-3";"828267716";"1381968016";"1381968016";"0";"OZN1381968016";"MEGA CHIPS Бульба Чипсы острые набор 3 вида";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:45";"Продукты питания";"'6.62";"'1.3";"0";"0";"0";"0";"0";"0";"421.00";"497.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА МИКС 5 ВКУСОВ 100G-05";"828267718";"1381968038";"1381968038";"0";"OZN1381968038";"MEGA CHIPS набор ТОП 5 вкусов по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:45";"Продукты питания";"'3.65";"'0.7";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'НЕТ MEGA-HOLODETSHREN-100G-3";"828267719";"1381968025";"1381968025";"0";"OZN1381968025";"MEGA CHIPS Холодец и Хрен 3шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:45";"Продукты питания";"'1.82";"'0.4";"0";"0";"0";"0";"0";"0";"340.00";"401.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА EXTREMUM 100G-03";"828267720";"1381968894";"1381968894";"0";"OZN1381968894";"MEGA CHIPS острые 3шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'2.05";"'0.4";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'НЕТ MEGA-LOBSTER-100G-3";"828267731";"1381968046";"1381968046";"0";"OZN1381968046";"MEGA CHIPS Лобстер 3шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'2.05";"'0.4";"0";"0";"0";"0";"0";"0";"360.00";"425.00";;;;"0%"
"'НЕТ MEGA-PEPPERONI-100G-3";"828267732";"1381968027";"1381968027";"0";"OZN1381968027";"MEGA CHIPS со вкусом Пиццы Пепперони 3шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'2.05";"'0.4";"0";"0";"0";"0";"0";"0";"397.00";"468.00";;;;"0%"
"'НЕТ MEGA-BACON-100G-3";"828267734";"1381968028";"1381968028";"0";"OZN1381968028";"MEGA CHIPS Бекон 3шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'1.82";"'0.4";"0";"0";"0";"0";"0";"0";"340.00";"401.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА EXTREMUM 100G-05";"828267735";"1381969336";"1381969336";"0";"OZN1381969336";"MEGA CHIPS острые 5шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'3.29";"'0.7";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА МИКС 9 ВКУСОВ 100G-09";"828267736";"1381968023";"1381968023";"0";"OZN1381968023";"MEGA CHIPS набор всех 9 вкусов по 100г";"'100";"Mega Chips";"Продается";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'5.47";"'1.1";"93";"0";"1";"0";"0";"0";"1199.00";"2999.00";;;;"0%"
"'НЕТ MEGA-GRIBISMETANA-100G-2";"828267737";"1381968058";"1381968058";"0";"OZN1381968058";"MEGA CHIPS с Грибами и сметаной 2шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'1.22";"'0.2";"0";"0";"0";"0";"0";"0";"289.00";"341.00";;;;"0%"
"'НЕТ MEGA-GRIBISMETANA-100G-3";"828267739";"1381968037";"1381968037";"0";"OZN1381968037";"MEGA CHIPS с Грибами и сметаной 3шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'1.82";"'0.4";"0";"0";"0";"0";"0";"0";"340.00";"401.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА СМЕТАНА ЛУК 100G-02";"828267742";"1381968066";"1381968066";"0";"OZN1381968066";"MEGA CHIPS Сметана и Зелень 2шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:46";"Продукты питания";"'1.22";"'0.2";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'НЕТ MEGA-BACON-100G-2";"828267743";"1381968039";"1381968039";"0";"OZN1381968039";"MEGA CHIPS Бекон 2шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:47";"Продукты питания";"'1.22";"'0.2";"0";"0";"0";"0";"0";"0";"250.00";"295.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА СМЕТАНА ЛУК 100G-03";"828267747";"1381969029";"1381969029";"0";"OZN1381969029";"MEGA CHIPS Сметана и Зелень 3шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:47";"Продукты питания";"'1.82";"'0.4";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА EXTREMUM 100G-02";"828267751";"1381968030";"1381968030";"0";"OZN1381968030";"MEGA CHIPS острые 2шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:51";"Продукты питания";"'1.22";"'0.2";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'НЕТ MEGA-LOBSTER-100G-2";"828267753";"1381968051";"1381968051";"0";"OZN1381968051";"MEGA CHIPS Лобстер 2шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:52";"Продукты питания";"'1.39";"'0.3";"0";"0";"0";"0";"0";"0";"300.00";"354.00";;;;"0%"
"'НЕТ MEGA-EXTREMUM-100G-1";"828267755";"1381969073";"1381969073";"0";"4810279004670";"MEGA CHIPS острые 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:52";"Продукты питания";"'0.61";"'0.1";"0";"0";"0";"0";"0";"0";"120.00";"142.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА СМЕТАНА СЫР 100G-02";"828267756";"1381968094";"1381968094";"0";"OZN1381968094";"MEGA CHIPS Сыр и Сметана 2шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:52";"Продукты питания";"'1.22";"'0.2";"0";"0";"0";"0";"0";"0";"1499.00";"1999.00";;;;"0%"
"'БЕЛПРОДУКТ МЕГА EXTREMUM 100G-10";"828267757";"1381969070";"1381969070";"0";"OZN1381969070";"MEGA CHIPS острые 10шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:52";"Продукты питания";"'6.08";"'1.2";"0";"0";"0";"0";"0";"0";"2499.00";"2999.00";;;;"0%"
"'НЕТ MEGA-EXTREMUM-100G-25";"828267759";"1381969234";"1381969234";"0";"OZN1381969234";"MEGA CHIPS острые коробка 25шт по 100г";"'80";"Mega Chips";"Готов к продаже";"Показывается";;"Показывается";;"2024-01-11 19:25:52";"Продукты питания";"'17.66";"'3.5";"0";"0";"0";"0";"0";"0";"1901.00";"2243.00";;;;"0%"
